1.4,17
2.5,21
5.1,47
3.2,27
8.5,75
3.5,30
1.5,20
9.2,88
5.5,60
8.3,81
2.7,25
7.7,85
5.9,62
4.5,41
3.3,42
1.1,17
8.9,95
2.5,30
1.9,24
6.1,67
7.4,69
2.7,30
4.8,54
3.8,35
6.9,76
7.8,86
4.2,49
9.5,90
5.8,63
2.3,23
4.7,50
1.6,19
9,92
6.2,68
8.1,82
3.9,38
2.2,22
7.1,73
6.3,66
5.3,56
4.4,45
1.8,21
9.4,93
6.7,71
3.7,37
7.3,77
4.1,44
8,79
3.1,28
1.3,16
5.7,59
2.8,29
7.9,80
6.6,72
3.6,36
2.4,26
4.6,48
8.4,84
1.7,18
5.2,53
6.4,64
7.6,78
9.3,94
3.4,33
2.1,20
5.4,55
8.2,83
1.4,15
9.6,98
6.8,74
7.5,70
4.3,43
6.5,65
8.7,87
3,27
2.9,31
1.2,14
9.7,96
4.9,51
5.6,57
8.6,89
2.6,32
7.2,72
1,12
6,61
4,40
5,52
6.8,67
2,18
3,34
7,73
9.8,99
5.8,60
4.4,44
6.1,63
3.7,37
8,84
5.128571429,53
4.810714286,50
4.492857143,46
9.14,58.95
6.54,76.16
5.73,61.42
7.97,96.13
9.67,68.78
0.63,53.67
3.39,100
8.04,73.16
8.21,87.36
5.6,60.94
2.17,83.73
8.64,83.92
0.82,72.12
3.4,69.05
7.84,57.48
7.82,97.35
2.4,66.35
5.41,62.94
5.2,84.35
5.27,90.22
0.89,61.75
6.73,71.49
8.85,67.93
3.49,83.71
6.57,84.24
7.13,73.75
1.11,97.65
9.25,77.49
2.34,64.03
0.52,76.93
6.36,62.22
2.8,91.16
4.81,85.59
9.21,87.89
8.73,68.48
7.23,61.93
0.16,89.91
4.9,83.93
0.37,72.64
2.2,72.06
3.5,57.46
0.82,94.32
8.51,82.64
4.17,66.2
7.23,82.45
1.06,68.09
8.59,86.34
0.77,67.8
7.94,60.32
1.02,82.54
6.04,65.9
3.52,88.02
0.35,80.49
9.21,71.16
4.21,62.4
3.87,70.72
3.84,92
3.98,60
6.38,74.27
1.27,80.12
6.23,92.75
7.13,92.11
3.03,67.61
5.53,62.74
9.4,81.85
0.1,92.05
3.21,54.52
8.89,93.59
3.07,85.65
0.9,89.46
1.11,71.35
0.57,84.03
4.13,97.74
7.47,66.36
8.56,59.64
4.63,52.97
3.68,96.27
9.39,76.29
9.72,74.29
5.29,93.57
5.13,58.08
0.73,89.06
8.5,55.89
3.91,84.68
2.86,68.83
5.89,76.24
5.93,81.78
1.38,56.41
7.44,66.53
1.38,86.13
5.71,94.9
4.7,79.06
9.54,68.77
3.46,79.64
9.83,71.74
0.12,93.32
6.25,72.11
3.81,75.76
8.4,67.96
7.21,98.03
5.04,84.18
6.62,79.37
0.84,89.93
6.04,100
1.11,49.85
2.61,64.31
4.1,87.84
7.71,94.53
5.96,73.86
4.56,65.77
1.68,96.49
1.56,58.35
1.66,63.34
9.56,90.7
3.27,88.36
0.45,60.95
8.95,73.92
2.48,75.49
4.07,80.2
4.34,55.62
6.54,85.88
9.97,95.15
0.17,66.98
6.78,86.2
5.23,81.84
7.15,53.56
1.98,97.86
5.7,60.94
8.59,54.51
9.4,84.97
2.79,68.64
1.62,70.3
8.22,100
1.78,93.16
4.11,87.66
1.53,48.61
1.93,73.67
9.4,56.52
4.35,59.33
2.82,66.4
8.19,53.4
5.01,89.49
6.58,74.88
5.85,84.61
6.94,53.5
7.26,93.24
6.5,50.41
7.83,89.85
7.31,58.06
2.04,82.99
1.49,72.56
0.98,56.71
4.58,98.81
4.71,70.84
3.77,68.29
2.54,66.2
0.55,65.07
9.81,81.6
5.5,57.67
3.15,79.13
3.72,89.74
0.48,61.41
4.74,79.25
5.97,98.71
3.61,53.09
5.47,66.29
6.7,97
0.92,63.12
6.79,54.54
3.76,51.47
7.16,55.27
3.1,72.32
7.36,91.64
0.87,97.55
5.62,73.45
0.07,64.76
2.27,93.64
1.95,100
2.77,80.47
2.03,79.22
3.83,58.13
2.42,88.12
5.52,70.27
7.5,65.6
6.86,79.77
6.53,78.72
7.05,57.25
7.06,85.09
3.71,52.64
3.13,79.07
0.55,74.79
9.31,96.76
0.34,63.72
4.57,95.09
0.83,52.91
6.84,81.95
6.58,67.29
1.32,90.95
0.51,84.5
4.19,78.68
